location,size,total_sqft,bath,price,bhk,price_per_sqft
Wanowrie,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
Warje,3 BHK,3400.0,3.0,400.0,3,11764.70588235294
Yerawada,1 Bedroom,600.0,1.0,33.0,1,5500.0
Alandi Road,3 BHK,1569.0,3.0,70.0,3,4461.440407903123
Ambegaon Budruk,3 Bedroom,2600.0,3.0,147.0,3,5653.846153846154
Anandnagar,1 BHK,645.0,1.0,42.5,1,6589.147286821705
Aundh,4 Bedroom,1200.0,3.0,180.0,4,15000.0
Aundh Road,3 Bedroom,800.0,3.0,95.0,3,11875.0
Balaji Nagar,2 Bedroom,800.0,2.0,80.0,2,10000.0
Baner,2 BHK,1350.0,2.0,90.0,2,6666.666666666667
Baner road,3 BHK,2780.0,4.0,325.0,3,11690.647482014389
Bhandarkar Road,3 BHK,1410.0,2.0,45.12,3,3200.0
Bhavani Peth,2 BHK,1109.0,2.0,35.47,2,3198.376916140667
Bibvewadi,4 BHK,2000.0,3.0,1063.0,4,53150.0
Bopodi,1 BHK,800.0,1.0,72.0,1,9000.0
Budhwar Peth,2 BHK,1215.0,2.0,68.0,2,5596.707818930041
Bund Garden Road,8 Bedroom,1230.0,6.0,250.0,8,20325.20325203252
Camp,3 Bedroom,2273.0,4.0,192.0,3,8446.986361636604
Chandan Nagar,2 BHK,1255.0,2.0,52.76,2,4203.98406374502
Dapodi,2 BHK,1020.0,2.0,49.0,2,4803.921568627451
Deccan Gymkhana,3 BHK,1225.0,2.0,82.0,3,6693.877551020408
Dehu Road,2 BHK,1120.0,2.0,60.0,2,5357.142857142857
Dhankawadi,5 Bedroom,2400.0,5.0,625.0,5,26041.666666666668
Dhayari Phata,3 BHK,1225.0,2.0,69.0,3,5632.65306122449
Dhole Patil Road,4 Bedroom,5200.0,5.0,242.0,4,4653.846153846154
Erandwane,4 BHK,4000.0,4.0,700.0,4,17500.0
Fatima Nagar,3 BHK,1984.0,4.0,145.0,3,7308.467741935484
Fergusson College Road,3 BHK,2425.0,3.0,197.0,3,8123.711340206186
Ganesh Peth,3 Bedroom,1200.0,3.0,56.12,3,4676.666666666667
Ganeshkhind,2 BHK,1127.0,2.0,45.0,2,3992.9015084294588
Ghorpade Peth,3 BHK,1655.0,3.0,97.0,3,5861.027190332326
Ghorpadi,1 BHK,500.0,1.0,14.0,1,2800.0
Gokhale Nagar,3 Bedroom,1200.0,3.0,68.38,3,5698.333333333333
Gultekdi,2 BHK,1000.0,2.0,43.0,2,4300.0
Guruwar peth,2 BHK,1225.0,2.0,47.88,2,3908.5714285714284
Hadapsar,2 BHK,1350.0,2.0,45.0,2,3333.3333333333335
Hadapsar Industrial Estate,4 Bedroom,600.0,5.0,95.0,4,15833.333333333334
Hingne Khurd,2 BHK,1175.0,2.0,49.0,2,4170.212765957447
Jangali Maharaj Road,1 BHK,655.0,1.0,27.0,1,4122.137404580153
Kalyani Nagar,3 BHK,1311.0,2.0,84.86,3,6472.921434019832
Karve Nagar,3 Bedroom,600.0,4.0,90.0,3,15000.0
Karve Road,2 BHK,1000.0,2.0,38.5,2,3850.0
Kasba Peth,2 BHK,1196.0,2.0,96.0,2,8026.755852842809
Katraj,3 BHK,1050.0,2.0,59.0,3,5619.047619047619
Khadaki,3 BHK,1275.0,2.0,52.0,3,4078.4313725490197
Khadki,2 BHK,927.0,2.0,50.0,2,5393.743257820927
Kharadi,3 BHK,1520.0,2.0,61.0,3,4013.157894736842
Kondhwa,4 Bedroom,2400.0,5.0,395.0,4,16458.333333333332
Kondhwa Budruk,2 BHK,1333.0,2.0,104.0,2,7801.950487621905
Kondhwa Khurd,1 BHK,600.0,1.0,18.0,1,3000.0
Koregaon Park,3 BHK,1326.0,2.0,34.8,3,2624.434389140271
Law College Road,2 BHK,1370.0,2.0,125.0,2,9124.087591240876
Laxmi Road,2 BHK,1100.0,2.0,85.0,2,7727.272727272727
Lulla Nagar,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
Mahatma Gandhi Road,3 BHK,1917.0,3.0,132.0,3,6885.758998435055
Mangalwar peth,3 BHK,780.0,3.0,75.0,3,9615.384615384615
Manik Bagh,2 BHK,950.0,2.0,58.11,2,6116.8421052631575
Market yard,2 BHK,1175.0,2.0,48.72,2,4146.382978723404
Model colony,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
Mukund Nagar,3 BHK,1804.0,3.0,175.0,3,9700.665188470066
Mundhawa,2 BHK,1257.0,2.0,68.5,2,5449.482895783612
Nagar Road,1 BHK,650.0,1.0,19.87,1,3056.923076923077
Nana Peth,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Narayan Peth,4 Bedroom,2800.0,4.0,200.0,4,7142.857142857143
Narayangaon,2 BHK,945.0,2.0,40.0,2,4232.804232804233
Navi Peth,2 BHK,1161.0,2.0,63.85,2,5499.569336778639
Padmavati,3 BHK,1630.0,3.0,51.35,3,3150.306748466258
Parvati Darshan,3 BHK,1310.0,2.0,60.0,3,4580.152671755725
Pashan,2 BHK,750.0,2.0,28.0,2,3733.3333333333335
Paud Road,3 Bedroom,1200.0,3.0,67.77,3,5647.5
Pirangut,2 BHK,1000.0,2.0,45.0,2,4500.0
Prabhat Road,4 Bedroom,4000.0,4.0,225.0,4,5625.0
Pune Railway Station,2 BHK,1315.0,2.0,70.0,2,5323.19391634981
Rasta Peth,3 BHK,1370.0,2.0,90.0,3,6569.343065693431
Raviwar Peth,5 Bedroom,1200.0,4.0,150.0,5,12500.0
Sadashiv Peth,2 BHK,1465.0,3.0,90.0,2,6143.344709897611
Sahakar Nagar,3 BHK,20000.0,3.0,175.0,3,875.0
Salunke Vihar,2 BHK,1128.0,2.0,64.0,2,5673.758865248227
Sasson Road,3 BHK,1250.0,2.0,70.0,3,5600.0
Satara Road,3 BHK,1645.0,3.0,117.0,3,7112.462006079028
Senapati Bapat Road,3 BHK,1284.0,2.0,75.0,3,5841.121495327103
Shaniwar Peth,3 BHK,2600.0,3.0,199.0,3,7653.846153846154
Shivaji Nagar,3 BHK,1820.0,3.0,150.0,3,8241.758241758242
Shukrawar Peth,3 BHK,1580.0,3.0,73.0,3,4620.2531645569625
Sinhagad Road,3 Bedroom,2650.0,3.0,125.0,3,4716.981132075472
Somwar Peth,2 BHK,1215.0,2.0,68.0,2,5596.707818930041
Swargate,2 BHK,1075.0,2.0,40.0,2,3720.9302325581393
Tilak Road,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
Uruli Devachi,3 BHK,1400.0,2.0,55.0,3,3928.5714285714284
Vadgaon Budruk,2 BHK,845.0,2.0,30.0,2,3550.2958579881656
Wadgaon Sheri,4 BHK,2600.0,4.0,40.0,4,1538.4615384615386
Viman Nagar,4 Bedroom,3854.5,6.0,385.5,4,10001.297185108315
Vishrant Wadi,2 BHK,800.0,2.0,85.0,2,10625.0
Wagholi,2 BHK,1199.0,2.0,85.0,2,7089.241034195163
Wakadewadi,2 BHK,1175.0,2.0,43.48,2,3700.425531914894
Wanowrie,3 Bedroom,2400.0,3.0,270.0,3,11250.0
Warje,3 BHK,1767.0,3.0,109.0,3,6168.647425014148
Yerawada,4 BHK,1800.0,3.0,90.0,4,5000.0
Alandi Road,3 BHK,1856.0,3.0,135.0,3,7273.706896551724
Ambegaon Budruk,3 Bedroom,1200.0,3.0,140.0,3,11666.666666666666
Anandnagar,3 BHK,1613.0,3.0,150.0,3,9299.442033477992
Aundh,4 BHK,6830.0,5.0,795.0,4,11639.824304538799
Aundh Road,2 BHK,1290.0,2.0,90.0,2,6976.7441860465115
Balaji Nagar,2 BHK,1375.0,2.0,78.0,2,5672.727272727273
Baner,2 BHK,985.0,2.0,57.0,2,5786.802030456853
Baner road,4 Bedroom,1200.0,4.0,200.0,4,16666.666666666668
Bhandarkar Road,2 BHK,1099.0,2.0,37.5,2,3412.1929026387625
Bhavani Peth,1 BHK,605.0,1.0,13.31,1,2200.0
Bibvewadi,11 BHK,6000.0,12.0,150.0,11,2500.0
Bopodi,7 Bedroom,3600.0,7.0,160.0,7,4444.444444444444
Budhwar Peth,2 BHK,1200.0,2.0,53.0,2,4416.666666666667
Bund Garden Road,2 BHK,1000.0,2.0,45.0,2,4500.0
Camp,3 BHK,1159.0,2.0,38.0,3,3278.688524590164
Chandan Nagar,5 BHK,3692.0,5.0,340.0,5,9209.100758396533
Dapodi,2 Bedroom,600.0,2.0,80.0,2,13333.333333333334
Deccan Gymkhana,4 Bedroom,2400.0,4.0,600.0,4,25000.0
Dehu Road,3 BHK,1540.0,2.0,78.0,3,5064.935064935065
Dhankawadi,3 BHK,1503.0,2.0,93.0,3,6187.624750499002
Dhayari Phata,3 BHK,1850.0,4.0,120.0,3,6486.486486486487
Dhole Patil Road,3 BHK,1580.0,3.0,60.0,3,3797.46835443038
Erandwane,2 BHK,1190.0,2.0,39.25,2,3298.3193277310925
Fatima Nagar,2 Bedroom,1200.0,2.0,61.0,2,5083.333333333333
Fergusson College Road,7 Bedroom,1000.0,7.0,250.0,7,25000.0
Ganesh Peth,2 BHK,850.0,1.0,19.9,2,2341.176470588235
Ganeshkhind,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
Ghorpade Peth,3 BHK,2500.0,2.0,60.0,3,2400.0
Ghorpadi,3 Bedroom,1200.0,3.0,56.12,3,4676.666666666667
Gokhale Nagar,3 BHK,1500.0,2.0,52.0,3,3466.6666666666665
Gultekdi,5 Bedroom,1200.0,3.0,180.0,5,15000.0
Guruwar peth,3 BHK,1880.0,3.0,120.0,3,6382.978723404255
Hadapsar,2 BHK,1150.0,2.0,45.0,2,3913.0434782608695
Hadapsar Industrial Estate,4 Bedroom,4408.0,4.0,344.0,4,7803.992740471869
Hingne Khurd,2 BHK,924.0,2.0,35.11,2,3799.78354978355
Jangali Maharaj Road,5 BHK,7800.0,6.0,385.0,5,4935.897435897436
Kalyani Nagar,6 Bedroom,600.0,6.0,100.0,6,16666.666666666668
Karve Nagar,4 Bedroom,750.0,4.0,95.0,4,12666.666666666666
Karve Road,3 Bedroom,1962.0,3.0,175.0,3,8919.469928644241
Kasba Peth,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Katraj,3 BHK,1765.0,3.0,77.27,3,4377.903682719547
Khadaki,2 BHK,1174.0,2.0,29.35,2,2500.0
Khadki,3 BHK,1894.0,3.0,115.0,3,6071.805702217529
Kharadi,4 Bedroom,960.0,2.0,138.0,4,14375.0
Kondhwa,3 BHK,1760.0,3.0,142.0,3,8068.181818181818
Kondhwa Budruk,3 BHK,1768.0,3.0,95.0,3,5373.303167420814
Kondhwa Khurd,3 BHK,1790.0,3.0,97.0,3,5418.994413407821
Koregaon Park,4 Bedroom,3500.0,5.0,800.0,4,22857.14285714286
Kothrud,2 Bedroom,1200.0,2.0,45.0,2,3750.0
Law College Road,4 Bedroom,2540.0,4.0,160.0,4,6299.212598425197
Laxmi Road,2 BHK,1137.0,2.0,53.4,2,4696.5699208443275
Mahatma Gandhi Road,7 Bedroom,1200.0,6.0,115.0,7,9583.333333333334
Mangalwar peth,3 BHK,1568.0,2.0,100.0,3,6377.551020408163
Manik Bagh,4 Bedroom,4920.0,4.0,393.5,4,7997.967479674797
Market yard,2 BHK,1308.0,2.0,60.0,2,4587.155963302752
Model colony,4 BHK,3060.0,4.0,350.0,4,11437.908496732027
Mukund Nagar,3 BHK,1200.0,2.0,41.0,3,3416.6666666666665
Mundhawa,1 BHK,800.0,1.0,32.0,1,4000.0
Nagar Road,1 BHK,530.0,1.0,13.5,1,2547.169811320755
Nana Peth,3 BHK,873.0,2.0,40.0,3,4581.901489117984
Narayan Peth,7 Bedroom,3000.0,6.0,145.0,7,4833.333333333333
Narayangaon,4 Bedroom,1200.0,4.0,235.0,4,19583.333333333332
Navi Peth,2 BHK,958.0,2.0,33.53,2,3500.0
Padmavati,3 BHK,2072.0,4.0,160.0,3,7722.007722007722
Parvati Darshan,3 BHK,2273.0,3.0,159.0,3,6995.160580730312
Pashan,3 Bedroom,600.0,3.0,90.0,3,15000.0
Paud Road,1 BHK,760.0,1.0,50.0,1,6578.9473684210525
Pirangut,2 BHK,1090.0,2.0,43.5,2,3990.8256880733943
Prabhat Road,3 BHK,2072.0,4.0,155.0,3,7480.694980694981
Pune Railway Station,3 BHK,2666.0,3.0,230.0,3,8627.156789197299
Rasta Peth,3 BHK,1550.0,2.0,89.0,3,5741.935483870968
Raviwar Peth,2 BHK,1251.0,2.0,50.0,2,3996.802557953637
Sadashiv Peth,2 BHK,1070.0,2.0,53.0,2,4953.271028037383
Sahakar Nagar,2 BHK,1200.0,2.0,45.0,2,3750.0
Salunke Vihar,3 BHK,1435.0,2.0,60.0,3,4181.184668989547
Sasson Road,3 BHK,1400.0,2.0,45.0,3,3214.285714285714
Satara Road,4 BHK,2330.0,3.0,94.71,4,4064.8068669527897
Senapati Bapat Road,2 BHK,1200.0,2.0,60.0,2,5000.0
Shaniwar Peth,2 BHK,1000.0,2.0,40.0,2,4000.0
Shivaji Nagar,3 BHK,1655.0,2.0,62.89,3,3800.0
Shukrawar Peth,9 Bedroom,3600.0,9.0,240.0,9,6666.666666666667
Sinhagad Road,1 Bedroom,600.0,1.0,35.0,1,5833.333333333333
Somwar Peth,2 BHK,1175.0,2.0,50.0,2,4255.31914893617
Swargate,2 BHK,1155.0,2.0,40.43,2,3500.4329004329006
Tilak Road,3 Bedroom,1200.0,3.0,98.0,3,8166.666666666667
Uruli Devachi,2 BHK,1149.0,2.0,65.0,2,5657.093124456049
Wadgaon Sheri,4 Bedroom,3200.0,4.0,375.0,4,11718.75
Viman Nagar,2 BHK,1010.0,2.0,55.0,2,5445.544554455446
Vishrant Wadi,3 BHK,1718.0,3.0,119.0,3,6926.6589057043075
Wagholi,2 BHK,650.0,1.0,20.0,2,3076.923076923077
Wakadewadi,2 BHK,1330.0,2.0,77.0,2,5789.473684210527
Wanowrie,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
Warje,3 BHK,1693.0,3.0,89.0,3,5256.940342587123
Yerawada,2 BHK,1249.0,2.0,165.0,2,13210.56845476381
Alandi Road,3 BHK,1800.0,4.0,125.0,3,6944.444444444444
Ambegaon Budruk,2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
Anandnagar,2 BHK,1020.0,2.0,46.0,2,4509.803921568628
Aundh,3 BHK,1700.0,3.0,77.0,3,4529.411764705882
Aundh Road,1 BHK,661.0,1.0,40.0,1,6051.437216338881
Balaji Nagar,2 BHK,1280.0,2.0,60.16,2,4700.0
Baner,5 Bedroom,1000.0,4.0,90.0,5,9000.0
Baner road,2 BHK,1170.0,2.0,48.0,2,4102.5641025641025
Bhandarkar Road,1 BHK,933.0,2.0,58.0,1,6216.505894962486
Bhavani Peth,2 BHK,1150.0,2.0,44.0,2,3826.086956521739
Bibvewadi,4 BHK,3633.0,6.0,550.0,4,15139.003578309937
Bopodi,3 BHK,1380.0,3.0,130.0,3,9420.289855072464
Budhwar Peth,2 Bedroom,1050.0,2.0,64.8,2,6171.428571428572
Bund Garden Road,2 BHK,1080.0,2.0,37.8,2,3499.9999999999995
Camp,2 BHK,1303.0,2.0,90.0,2,6907.137375287797
Chandan Nagar,2 BHK,1196.0,2.0,40.54,2,3389.632107023411
Dapodi,5 Bedroom,2500.0,3.0,180.0,5,7200.0
Deccan Gymkhana,5 Bedroom,1200.0,4.0,95.0,5,7916.666666666667
Dehu Road,3 BHK,1250.0,3.0,41.0,3,3280.0
Dhankawadi,3 BHK,1419.0,2.0,87.0,3,6131.0782241014795
Dhayari Phata,2 BHK,1200.0,2.0,49.0,2,4083.3333333333335
Dhole Patil Road,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
Erandwane,1 BHK,762.5,1.0,45.4,1,5954.098360655737
Fatima Nagar,2 BHK,1245.0,2.0,75.0,2,6024.096385542169
Fergusson College Road,4 Bedroom,3978.0,4.0,428.0,4,10759.175465057819
Ganesh Peth,2 BHK,1093.0,2.0,34.0,2,3110.704483074108
Ganeshkhind,2 BHK,1025.0,1.0,26.63,2,2598.048780487805
Ghorpade Peth,2 BHK,1345.0,2.0,97.0,2,7211.8959107806695
Ghorpadi,2 Bedroom,1500.0,2.0,45.0,2,3000.0
Gokhale Nagar,2 BHK,1180.0,2.0,86.0,2,7288.135593220339
Gultekdi,2 BHK,1020.0,2.0,48.45,2,4750.0
Guruwar peth,3 BHK,1800.0,3.0,85.0,3,4722.222222222223
Hadapsar,4 BHK,3621.0,4.0,511.0,4,14112.123722728527
Hadapsar Industrial Estate,3 BHK,2008.0,3.0,170.0,3,8466.135458167331
Hingne Khurd,3 BHK,1240.0,2.0,39.85,3,3213.7096774193546
Jangali Maharaj Road,2 BHK,1020.0,2.0,55.0,2,5392.156862745098
Kalyani Nagar,3 BHK,2095.0,3.0,142.0,3,6778.042959427207
Karve Nagar,3 BHK,1362.0,3.0,62.63,3,4598.384728340676
Karve Road,1 BHK,694.0,1.0,30.84,1,4443.804034582133
Kasba Peth,2 BHK,1404.0,2.0,70.0,2,4985.754985754986
Katraj,3 BHK,1192.0,2.0,47.0,3,3942.953020134228
Khadaki,8 Bedroom,1850.0,12.0,300.0,8,16216.216216216217
Khadki,4 Bedroom,1050.0,1.0,35.0,4,3333.3333333333335
Kharadi,2 BHK,1259.0,2.0,67.48,2,5359.809372517871
Kondhwa,2 BHK,1000.0,2.0,34.0,2,3400.0
Kondhwa Budruk,2 BHK,985.0,2.0,49.97,2,5073.096446700508
Kondhwa Khurd,1 BHK,850.0,1.0,60.0,1,7058.823529411765
Koregaon Park,3 BHK,1650.0,2.0,50.0,3,3030.3030303030305
Kothrud,5 Bedroom,2400.0,3.0,320.0,5,13333.333333333334
Law College Road,3 BHK,1900.0,4.0,180.0,3,9473.684210526315
Laxmi Road,2 BHK,1367.0,2.0,86.0,2,6291.148500365764
Lulla Nagar,3 BHK,1210.0,2.0,81.0,3,6694.214876033057
Mahatma Gandhi Road,2 BHK,1190.0,2.0,48.6,2,4084.0336134453783
Mangalwar peth,2 BHK,1175.0,2.0,42.0,2,3574.468085106383
Manik Bagh,4 BHK,2800.0,4.0,400.0,4,14285.714285714286
Market yard,2 BHK,1140.0,2.0,40.0,2,3508.7719298245615
Model colony,2 BHK,1095.0,2.0,33.6,2,3068.4931506849316
Mukund Nagar,1 BHK,782.0,1.0,19.55,1,2500.0
Mundhawa,3 BHK,1435.0,2.0,80.0,3,5574.912891986062
Nagar Road,2 BHK,725.0,2.0,36.0,2,4965.517241379311
Nana Peth,3 BHK,1600.0,2.0,88.0,3,5500.0
Narayan Peth,5 Bedroom,1200.0,5.0,160.0,5,13333.333333333334
Narayangaon,4 BHK,3205.0,4.0,300.0,4,9360.374414976599
Navi Peth,4 Bedroom,720.0,3.0,95.0,4,13194.444444444445
Padmavati,3 BHK,1674.0,3.0,90.0,3,5376.344086021505
Parvati Darshan,4 Bedroom,860.0,4.0,125.0,4,14534.883720930233
Pashan,2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
Paud Road,3 BHK,1703.0,3.0,130.0,3,7633.587786259542
Pirangut,3 BHK,1350.0,3.0,71.55,3,5300.0
Prabhat Road,2 BHK,1145.0,2.0,41.21,2,3599.126637554585
Pune Railway Station,2 BHK,1216.0,2.0,75.0,2,6167.763157894737
Rasta Peth,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
Raviwar Peth,4 BHK,2425.0,5.0,201.0,4,8288.659793814433
Sadashiv Peth,4 Bedroom,2700.0,4.0,175.0,4,6481.481481481482
Sahakar Nagar,2 BHK,1196.0,2.0,40.54,2,3389.632107023411
Salunke Vihar,3 BHK,1600.0,3.0,90.0,3,5625.0
Sasson Road,3 BHK,1510.0,3.0,47.57,3,3150.3311258278145
Satara Road,4 BHK,3033.0,4.0,326.0,4,10748.433893834488
Senapati Bapat Road,2 Bedroom,780.0,2.0,72.0,2,9230.76923076923
Shaniwar Peth,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Shivaji Nagar,2 BHK,1250.0,2.0,110.0,2,8800.0
Shukrawar Peth,5 Bedroom,1480.0,4.0,169.0,5,11418.918918918918
Sinhagad Road,4 Bedroom,1250.0,4.0,100.0,4,8000.0
Somwar Peth,4 Bedroom,1350.0,4.0,160.0,4,11851.851851851852
Swargate,1 Bedroom,620.0,2.0,48.0,1,7741.935483870968
Tilak Road,3 BHK,1630.0,3.0,60.65,3,3720.8588957055213
Uruli Devachi,2 BHK,1020.0,2.0,45.0,2,4411.764705882353
Vadgaon Budruk,3 BHK,1410.0,2.0,53.58,3,3800.0
Wadgaon Sheri,2 BHK,1181.7,2.0,100.0,2,8462.384700008462
Viman Nagar,9 Bedroom,1200.0,8.0,270.0,9,22500.0
Vishrant Wadi,3 BHK,1691.0,3.0,113.0,3,6682.436428149024
Wagholi,4 Bedroom,1200.0,4.0,83.0,4,6916.666666666667
Wakadewadi,2 BHK,1200.0,2.0,60.0,2,5000.0
Wanowrie,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
Warje,3 BHK,1300.0,3.0,77.99,3,5999.230769230769
Yerawada,2 BHK,1356.0,2.0,94.84,2,6994.100294985251
Alandi Road,2 BHK,1338.0,2.0,103.0,2,7698.056801195815
Ambegaon Budruk,1 BHK,500.0,1.0,20.0,1,4000.0
Anandnagar,3 BHK,1280.0,2.0,100.0,3,7812.5
Aundh,3 BHK,1531.0,3.0,51.77,3,3381.4500326583934
Aundh Road,4 BHK,11000.0,4.0,1600.0,4,14545.454545454546
Balaji Nagar,2 BHK,620.0,1.0,23.5,2,3790.3225806451615
Baner,3 BHK,1605.0,2.0,65.0,3,4049.8442367601247
Baner road,3 BHK,1917.0,3.0,110.0,3,5738.132498695879
Bhandarkar Road,4 Bedroom,1200.0,3.0,340.0,4,28333.333333333332
Bhavani Peth,3 BHK,2750.0,3.0,943.0,3,34290.90909090909
Bibvewadi,3 BHK,1400.0,3.0,55.0,3,3928.5714285714284
Bopodi,3 BHK,2625.0,3.0,175.0,3,6666.666666666667
Budhwar Peth,2 BHK,1100.0,2.0,55.0,2,5000.0
Bund Garden Road,3 BHK,2041.0,3.0,128.0,3,6271.435570798628
Camp,3 BHK,2070.0,4.0,160.0,3,7729.468599033817
Chandan Nagar,3 BHK,1110.0,3.0,59.0,3,5315.315315315315
Dapodi,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
Deccan Gymkhana,4 Bedroom,3565.0,4.0,255.0,4,7152.875175315568
Dehu Road,3 BHK,1033.0,2.0,30.47,3,2949.6611810261375
Dhankawadi,2 BHK,1142.0,2.0,65.0,2,5691.768826619965
Dhayari Phata,3 BHK,1500.0,2.0,75.0,3,5000.0
Dhole Patil Road,3 BHK,1502.0,3.0,50.0,3,3328.894806924101
Erandwane,3 BHK,1176.0,2.0,45.0,3,3826.530612244898
Fatima Nagar,2 BHK,1063.0,2.0,32.8,2,3085.6067732831602
Fergusson College Road,2 BHK,1100.0,2.0,60.0,2,5454.545454545455
Ganesh Peth,2 Bedroom,1044.0,2.0,85.0,2,8141.762452107279
Ganeshkhind,3 Bedroom,5400.0,3.0,700.0,3,12962.962962962964
Ghorpade Peth,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
Ghorpadi,3 BHK,1425.0,3.0,55.0,3,3859.6491228070176
Gokhale Nagar,8 Bedroom,1200.0,8.0,150.0,8,12500.0
Gultekdi,2 BHK,1345.0,2.0,108.0,2,8029.739776951673
Guruwar peth,2 BHK,1248.0,2.0,130.0,2,10416.666666666666
Hadapsar,4 Bedroom,1830.0,4.0,325.0,4,17759.562841530056
Hadapsar Industrial Estate,2 BHK,900.0,1.0,130.0,2,14444.444444444445
Hingne Khurd,4 Bedroom,3600.0,4.0,245.0,4,6805.555555555556
Jangali Maharaj Road,2 BHK,1025.0,2.0,35.88,2,3500.4878048780492
Kalyani Nagar,2 Bedroom,840.0,1.0,99.0,2,11785.714285714286
Karve Nagar,3 BHK,3050.0,2.0,90.0,3,2950.8196721311474
Karve Road,3 BHK,1424.0,2.0,75.0,3,5266.853932584269
Kasba Peth,3 BHK,2500.0,3.0,268.0,3,10720.0
Katraj,6 Bedroom,1200.0,6.0,230.0,6,19166.666666666668
Khadaki,2 BHK,1285.0,2.0,45.0,2,3501.9455252918287
Khadki,2 BHK,1450.0,2.0,55.99,2,3861.3793103448274
Kharadi,2 BHK,1160.0,2.0,70.0,2,6034.482758620689
Kondhwa,3 Bedroom,2700.0,3.0,350.0,3,12962.962962962964
Kondhwa Budruk,3 Bedroom,2000.0,2.0,95.0,3,4750.0
Kondhwa Khurd,2 BHK,1125.0,2.0,47.65,2,4235.555555555556
Koregaon Park,4 Bedroom,3900.0,4.0,175.0,4,4487.179487179487
Kothrud,2 BHK,1133.0,2.0,38.37,2,3386.5842894969105
Law College Road,2 BHK,1240.0,2.0,60.0,2,4838.709677419355
Laxmi Road,3 BHK,1466.0,3.0,77.59,3,5292.633015006822
Lulla Nagar,4 BHK,3870.0,4.0,411.0,4,10620.15503875969
Mahatma Gandhi Road,3 BHK,1610.0,2.0,115.0,3,7142.857142857143
Mangalwar peth,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Manik Bagh,2 BHK,1225.0,2.0,48.0,2,3918.3673469387754
Market yard,2 BHK,1300.0,2.0,54.0,2,4153.846153846154
Model colony,3 BHK,1996.0,4.0,123.0,3,6162.324649298597
Mukund Nagar,3 BHK,1320.0,2.0,55.0,3,4166.666666666667
Mundhawa,3 BHK,1800.0,3.0,240.0,3,13333.333333333334
Nagar Road,3 BHK,1835.0,3.0,175.0,3,9536.784741144415
Nana Peth,3 BHK,1435.0,3.0,90.0,3,6271.777003484321
Narayan Peth,3 BHK,4097.0,3.0,400.0,3,9763.24139614352
Narayangaon,3 BHK,1601.0,3.0,70.0,3,4372.2673329169265
Navi Peth,2 BHK,1257.0,2.0,93.0,2,7398.568019093079
Padmavati,4 BHK,3596.0,5.0,260.0,4,7230.255839822024
Parvati Darshan,2 BHK,1309.0,2.0,95.0,2,7257.448433919022
Pashan,2 Bedroom,1362.0,2.0,100.0,2,7342.143906020558
Paud Road,2 BHK,1115.0,2.0,55.0,2,4932.735426008969
Pirangut,3 BHK,1870.0,3.0,90.0,3,4812.834224598931
Prabhat Road,2 BHK,1322.0,2.0,61.99,2,4689.10741301059
Pune Railway Station,3 BHK,1450.0,2.0,65.0,3,4482.758620689655
Rasta Peth,2 BHK,1185.0,2.0,67.0,2,5654.008438818565
Raviwar Peth,3 BHK,1790.0,3.0,120.0,3,6703.91061452514
Sadashiv Peth,3 Bedroom,3450.0,4.0,208.0,3,6028.985507246377
Sahakar Nagar,2 BHK,1050.0,2.0,52.5,2,5000.0
Salunke Vihar,1 BHK,693.0,1.0,27.375,1,3950.21645021645
Sasson Road,4 Bedroom,5400.0,4.0,750.0,4,13888.888888888889
Satara Road,1 BHK,775.0,1.0,39.0,1,5032.258064516129
Senapati Bapat Road,2 BHK,1000.0,2.0,48.0,2,4800.0
Shaniwar Peth,2 BHK,1183.0,2.0,77.25,2,6530.0084530853765
Shivaji Nagar,3 BHK,1282.0,3.0,178.0,3,13884.555382215289
Shukrawar Peth,1 BHK,425.0,1.0,15.0,1,3529.4117647058824
Sinhagad Road,2 BHK,820.0,2.0,30.0,2,3658.5365853658536
Somwar Peth,4 BHK,2230.0,4.0,792.0,4,35515.695067264576
Swargate,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Tilak Road,2 BHK,1151.0,2.0,43.6,2,3788.010425716768
Uruli Devachi,3 BHK,1320.0,2.0,59.0,3,4469.69696969697
Vadgaon Budruk,3 BHK,1450.0,3.0,68.0,3,4689.6551724137935
Wadgaon Sheri,3 BHK,1270.0,2.0,50.79,3,3999.212598425197
Viman Nagar,3 BHK,1847.0,3.0,123.0,3,6659.447753113156
